sex,Predicted_age,Weekday,TimeOfDay,mean
F,33,Sunday,Morning,61.142857142857146
F,33,Sunday,Night,65.54838709677419
F,33,Sunday,Noon,70.16666666666667
F,33,Thursday,Eve,65.0909090909091
F,33,Thursday,Morning,65.0
F,33,Thursday,Night,58.275862068965516
F,33,Thursday,Noon,50.0
F,33,Tuesday,Eve,60.22222222222222
F,33,Tuesday,Morning,50.18181818181818
F,33,Tuesday,Night,57.108108108108105
F,33,Tuesday,Noon,48.46153846153846
F,33,Wednesday,Eve,57.52173913043478
F,33,Wednesday,Morning,57.45454545454545
F,33,Wednesday,Night,58.705882352941174
F,33,Wednesday,Noon,52.0
F,34,Friday,Eve,56.523809523809526
F,34,Friday,Morning,42.75
F,34,Friday,Night,64.34482758620689
F,34,Friday,Noon,49.916666666666664
F,34,Monday,Eve,64.42105263157895
F,34,Monday,Morning,43.9
F,34,Monday,Night,53.62068965517241
F,34,Monday,Noon,57.57142857142857
F,34,Saturday,Eve,54.30769230769231
F,34,Saturday,Morning,56.583333333333336
F,34,Saturday,Night,57.357142857142854
F,34,Saturday,Noon,56.714285714285715
F,34,Sunday,Eve,60.111111111111114
F,34,Sunday,Morning,63.77777777777778
F,34,Sunday,Night,55.470588235294116
F,34,Sunday,Noon,65.33333333333333
F,34,Thursday,Eve,58.333333333333336
F,34,Thursday,Morning,61.875
F,34,Thursday,Night,59.5609756097561
F,34,Thursday,Noon,57.18181818181818
F,34,Tuesday,Eve,67.92857142857143
F,34,Tuesday,Morning,53.714285714285715
F,34,Tuesday,Night,55.03225806451613
F,34,Tuesday,Noon,52.0
F,34,Wednesday,Eve,57.82608695652174
F,34,Wednesday,Morning,58.583333333333336
F,34,Wednesday,Night,58.075
F,34,Wednesday,Noon,58.166666666666664
F,35,Friday,Eve,59.23076923076923
F,35,Friday,Morning,48.6
F,35,Friday,Night,60.375
F,35,Friday,Noon,71.4
F,35,Monday,Eve,62.5
F,35,Monday,Morning,45.57142857142857
F,35,Monday,Night,71.61538461538461
F,35,Monday,Noon,44.5
F,35,Saturday,Eve,54.6
F,35,Saturday,Morning,55.63636363636363
F,35,Saturday,Night,62.09090909090909
F,35,Saturday,Noon,56.45
F,35,Sunday,Eve,62.4
F,35,Sunday,Morning,68.44444444444444
F,35,Sunday,Night,63.0
F,35,Sunday,Noon,60.46153846153846
F,35,Thursday,Eve,58.833333333333336
F,35,Thursday,Morning,65.4
F,35,Thursday,Night,66.46341463414635
F,35,Thursday,Noon,46.55555555555556
F,35,Tuesday,Eve,59.833333333333336
F,35,Tuesday,Morning,34.2
F,35,Tuesday,Night,58.121212121212125
F,35,Tuesday,Noon,55.84615384615385
F,35,Wednesday,Eve,51.75
F,35,Wednesday,Morning,52.81818181818182
F,35,Wednesday,Night,63.19444444444444
F,35,Wednesday,Noon,54.142857142857146
F,36,Friday,Eve,54.125
F,36,Friday,Morning,58.0
F,36,Friday,Night,64.16666666666667
F,36,Friday,Noon,68.75
F,36,Monday,Eve,73.5
F,36,Monday,Morning,56.09090909090909
F,36,Monday,Night,60.333333333333336
F,36,Monday,Noon,58.2
F,36,Saturday,Eve,63.0
F,36,Saturday,Morning,51.2
F,36,Saturday,Night,68.84615384615384
F,36,Saturday,Noon,54.2
F,36,Sunday,Eve,46.666666666666664
F,36,Sunday,Morning,37.75
F,36,Sunday,Night,61.53846153846154
F,36,Sunday,Noon,60.25
F,36,Thursday,Eve,55.833333333333336
F,36,Thursday,Morning,57.77777777777778
F,36,Thursday,Night,57.733333333333334
F,36,Thursday,Noon,45.583333333333336
F,36,Tuesday,Eve,68.625
F,36,Tuesday,Morning,94.0
F,36,Tuesday,Night,55.0
F,36,Tuesday,Noon,64.0
F,36,Wednesday,Eve,37.8
F,36,Wednesday,Morning,13.5
F,36,Wednesday,Night,58.4375
F,36,Wednesday,Noon,65.0
F,37,Friday,Eve,58.833333333333336
F,37,Friday,Morning,61.333333333333336
F,37,Friday,Night,64.75
F,37,Friday,Noon,60.0
F,37,Monday,Eve,60.25
F,37,Monday,Morning,59.666666666666664
F,37,Monday,Night,54.529411764705884
F,37,Monday,Noon,46.3
F,37,Saturday,Eve,63.5
F,37,Saturday,Morning,56.2
F,37,Saturday,Night,64.5
F,37,Saturday,Noon,58.27272727272727
F,37,Sunday,Eve,65.33333333333333
F,37,Sunday,Morning,37.5
F,37,Sunday,Night,60.90909090909091
F,37,Sunday,Noon,65.0
F,37,Thursday,Eve,65.0
F,37,Thursday,Morning,53.57142857142857
F,37,Thursday,Night,60.69230769230769
F,37,Thursday,Noon,69.0
F,37,Tuesday,Eve,65.0
F,37,Tuesday,Morning,62.0
F,37,Tuesday,Night,65.0
F,37,Tuesday,Noon,54.0
F,37,Wednesday,Eve,61.166666666666664
F,37,Wednesday,Morning,50.4
F,37,Wednesday,Night,57.81818181818182
F,37,Wednesday,Noon,61.4
F,38,Friday,Eve,74.0
F,38,Friday,Morning,65.0
F,38,Friday,Night,68.375
F,38,Friday,Noon,40.0
F,38,Monday,Eve,66.75
F,38,Monday,Morning,63.5
F,38,Monday,Night,58.333333333333336
F,38,Monday,Noon,42.666666666666664
F,38,Saturday,Eve,58.666666666666664
F,38,Saturday,Morning,47.0
F,38,Saturday,Night,57.0
F,38,Saturday,Noon,53.0
F,38,Sunday,Eve,65.0
F,38,Sunday,Morning,65.0
F,38,Sunday,Night,52.0
